pid,segment,cluster
1598,High engagers,0
1599,High engagers,0
1600,Passive,2
1601,Moderate,1
1602,High engagers,0
1603,Passive,2
1604,Moderate,1
1605,Moderate,1
1606,Moderate,1
1608,High engagers,0
1609,Passive,2
1610,High engagers,0
1611,Moderate,1
1612,High engagers,0
1613,Passive,2
1614,Moderate,1
1615,Passive,2
1616,High engagers,0
1617,Passive,2
1618,Moderate,1
1620,Moderate,1
1621,Moderate,1
1622,High engagers,0
1623,High engagers,0
1624,Passive,2
1625,Moderate,1
1626,High engagers,0
1627,Passive,2
1628,High engagers,0
1629,Moderate,1
1630,High engagers,0
1631,Moderate,1
1632,Moderate,1
1633,High engagers,0
1634,High engagers,0
1636,High engagers,0
1637,Passive,2
1638,Moderate,1
1639,High engagers,0
1640,High engagers,0
1641,Moderate,1
1642,Moderate,1
1643,Moderate,1
1644,High engagers,0
1645,High engagers,0
1646,High engagers,0
1647,High engagers,0
1648,High engagers,0
1649,Moderate,1
1650,High engagers,0
1651,Passive,2
1652,Passive,2
1653,High engagers,0
1654,Passive,2
1655,High engagers,0
1656,Moderate,1
1657,High engagers,0
1658,Moderate,1
1659,Moderate,1
1660,Passive,2
1661,High engagers,0
1662,Moderate,1
1663,High engagers,0
1664,Passive,2
1665,Moderate,1
1666,High engagers,0
1667,High engagers,0
1668,High engagers,0
1669,Passive,2
1670,High engagers,0
1671,Passive,2
1672,High engagers,0
1673,Passive,2
1674,High engagers,0
1675,Moderate,1
1676,Moderate,1
1677,Moderate,1
1678,Moderate,1
1679,Passive,2
1680,High engagers,0
1681,Passive,2
1682,High engagers,0
1683,Passive,2
1684,Moderate,1
1685,High engagers,0
1686,High engagers,0
1687,Passive,2
1688,High engagers,0
1689,High engagers,0
1690,High engagers,0
1691,High engagers,0
1692,Moderate,1
1693,Passive,2
1694,High engagers,0
1695,Passive,2
1696,High engagers,0
1697,Moderate,1
1698,High engagers,0
1700,Passive,2
1701,Moderate,1
1702,Moderate,1
1703,Moderate,1
1704,Passive,2
1705,High engagers,0
1707,Passive,2
1708,High engagers,0
1709,Moderate,1
1710,Moderate,1
1711,High engagers,0
1712,High engagers,0
1714,High engagers,0
1715,Moderate,1
1716,High engagers,0
1717,Passive,2
1718,High engagers,0
1719,Moderate,1
1720,Moderate,1
1721,Passive,2
1722,High engagers,0
1723,Moderate,1
1724,Passive,2
1725,Moderate,1
1726,Passive,2
1727,Moderate,1
1728,High engagers,0
1729,Moderate,1
1730,Passive,2
1731,High engagers,0
1732,High engagers,0
1733,Passive,2
1734,High engagers,0
1735,Moderate,1
1736,Passive,2
1737,Moderate,1
1738,Passive,2
1739,High engagers,0
1740,High engagers,0
1741,Passive,2
1742,High engagers,0
1743,Moderate,1
1745,Moderate,1
1746,High engagers,0
1747,High engagers,0
1748,High engagers,0
1749,Moderate,1
1750,Moderate,1
1751,High engagers,0
1752,High engagers,0
1753,High engagers,0
1754,Moderate,1
1755,High engagers,0
1756,Passive,2
1757,Passive,2
1759,High engagers,0
1760,Moderate,1
1761,Passive,2
1762,Moderate,1
1763,Moderate,1
1764,Moderate,1
1765,Passive,2
1766,Passive,2
1768,Moderate,1
1769,Moderate,1
1770,High engagers,0
1771,Passive,2
1772,High engagers,0
1773,High engagers,0
1774,Moderate,1
1775,High engagers,0
1776,Moderate,1
1777,High engagers,0
1778,High engagers,0
1779,Passive,2
1780,High engagers,0
1781,Passive,2
1782,Passive,2
1783,Moderate,1
1784,Passive,2
1785,Moderate,1
1786,High engagers,0
1787,High engagers,0
1788,Passive,2
1789,High engagers,0
1790,Passive,2
1791,High engagers,0
1792,Passive,2
1793,High engagers,0
1794,Passive,2
1795,Passive,2
1796,High engagers,0
1797,Moderate,1
1798,Moderate,1
1799,Moderate,1
1800,Passive,2
1801,Passive,2
1802,Passive,2
1803,High engagers,0
1804,Passive,2
1805,High engagers,0
1806,High engagers,0
1807,Moderate,1
1808,Moderate,1
1809,High engagers,0
1810,High engagers,0
1811,High engagers,0
1812,Moderate,1
1813,High engagers,0
1814,Moderate,1
1815,Moderate,1
1816,High engagers,0
1817,High engagers,0
1818,High engagers,0
1819,High engagers,0
1820,Moderate,1
1821,High engagers,0
1822,High engagers,0
1823,Moderate,1
1824,Passive,2
1825,High engagers,0
1826,High engagers,0
1827,High engagers,0
1828,High engagers,0
1829,Passive,2
1830,Passive,2
1831,High engagers,0
1833,Moderate,1
1834,High engagers,0
1835,Moderate,1
1836,High engagers,0
1837,Moderate,1
1838,High engagers,0
1839,High engagers,0
1840,Passive,2
1841,High engagers,0
1842,Passive,2
1843,High engagers,0
1844,Moderate,1
1845,High engagers,0
1846,High engagers,0
1847,High engagers,0
1848,High engagers,0
1849,Moderate,1
1850,Passive,2
1851,Passive,2
1852,High engagers,0
1853,High engagers,0
1854,High engagers,0
1855,Moderate,1
1856,Moderate,1
1857,High engagers,0
1858,Moderate,1
1859,Moderate,1
1860,High engagers,0
1861,High engagers,0
1863,Passive,2
1864,Moderate,1
1865,Passive,2
1866,High engagers,0
1867,Moderate,1
1868,High engagers,0
1869,Moderate,1
1870,Moderate,1
1871,Passive,2
1872,Moderate,1
1875,High engagers,0
1876,Passive,2
1877,Moderate,1
1878,Passive,2
1879,High engagers,0
1880,High engagers,0
1881,High engagers,0
1882,Passive,2
1883,Moderate,1
1884,Passive,2
1885,Moderate,1
1886,High engagers,0
1887,Passive,2
1888,Passive,2
1889,Moderate,1
1890,Moderate,1
1891,High engagers,0
1892,Passive,2
1893,Moderate,1
1894,High engagers,0
1895,High engagers,0
1896,High engagers,0
1897,Passive,2
1898,Moderate,1
1899,High engagers,0
1900,Passive,2
1901,Passive,2
1902,Moderate,1
1903,High engagers,0
1904,Moderate,1
1905,High engagers,0
1906,High engagers,0
1907,High engagers,0
1908,Moderate,1
1909,Passive,2
1910,Moderate,1
1911,Passive,2
1912,High engagers,0
1913,High engagers,0
1914,High engagers,0
1915,High engagers,0
1916,High engagers,0
1917,Passive,2
1918,Moderate,1
1919,Passive,2
1921,Moderate,1
1922,High engagers,0
1923,Moderate,1
1924,High engagers,0
1925,High engagers,0
1926,Moderate,1
1927,Passive,2
1928,High engagers,0
1929,High engagers,0
1930,Passive,2
1931,Moderate,1
1932,Moderate,1
1933,High engagers,0
1934,Moderate,1
1935,Moderate,1
1936,High engagers,0
1937,Moderate,1
1938,High engagers,0
1939,High engagers,0
1940,Passive,2
1941,Moderate,1
1942,Passive,2
1943,High engagers,0
1944,High engagers,0
1945,High engagers,0
1946,High engagers,0
1947,Moderate,1
1948,High engagers,0
1949,Moderate,1
1950,Moderate,1
1951,High engagers,0
1952,High engagers,0
1953,High engagers,0
1955,High engagers,0
1957,Moderate,1
1958,Moderate,1
1959,High engagers,0
1960,Passive,2
1961,Moderate,1
1962,Moderate,1
1963,High engagers,0
1964,Passive,2
1965,High engagers,0
1966,Passive,2
1967,High engagers,0
1968,High engagers,0
1969,High engagers,0
1970,High engagers,0
1971,High engagers,0
1974,Moderate,1
1975,Moderate,1
1976,High engagers,0
1977,High engagers,0
1978,Passive,2
1979,High engagers,0
1980,Passive,2
1981,High engagers,0
1982,High engagers,0
1983,Moderate,1
1984,Moderate,1
1985,Passive,2
1986,Passive,2
1987,High engagers,0
1988,High engagers,0
1990,Passive,2
1991,High engagers,0
1992,Moderate,1
1993,High engagers,0
1994,Passive,2
1995,High engagers,0
1996,Moderate,1
1997,Moderate,1
1998,Moderate,1
1999,Passive,2
2000,Moderate,1
2001,Passive,2
2002,High engagers,0
2003,Moderate,1
2004,Passive,2
2005,Moderate,1
2006,Moderate,1
2007,Passive,2
2008,Passive,2
2009,Passive,2
2010,Passive,2
2011,Passive,2
2012,High engagers,0
2013,High engagers,0
2014,High engagers,0
2015,High engagers,0
2016,High engagers,0
2017,High engagers,0
2018,Moderate,1
2019,High engagers,0
2020,Passive,2
2021,High engagers,0
2022,Moderate,1
2023,Passive,2
2024,High engagers,0
2025,High engagers,0
2026,High engagers,0
2027,Passive,2
2028,Passive,2
2029,Moderate,1
2030,Moderate,1
2031,Passive,2
2032,High engagers,0
2033,Passive,2
2034,Passive,2
2035,Passive,2
2036,Moderate,1
2037,Passive,2
2038,High engagers,0
2039,Passive,2
2040,Moderate,1
2041,High engagers,0
2042,Passive,2
2043,High engagers,0
2044,Moderate,1
2046,Passive,2
2047,High engagers,0
2048,Passive,2
2049,High engagers,0
2050,Passive,2
2051,Moderate,1
2052,High engagers,0
2053,Moderate,1
2054,High engagers,0
2055,High engagers,0
2056,High engagers,0
2057,Passive,2
2058,Moderate,1
2059,Moderate,1
2060,Passive,2
2061,Moderate,1
2062,Passive,2
2063,High engagers,0
2064,Moderate,1
2065,High engagers,0
2066,High engagers,0
2067,High engagers,0
2069,High engagers,0
2070,Moderate,1
2071,High engagers,0
2072,Moderate,1
2073,High engagers,0
2074,Moderate,1
2075,High engagers,0
2076,High engagers,0
2078,Moderate,1
2079,High engagers,0
2080,High engagers,0
2081,High engagers,0
2082,High engagers,0
2083,High engagers,0
2084,High engagers,0
2085,High engagers,0
2086,High engagers,0
2087,High engagers,0
2088,Passive,2
2089,Moderate,1
2090,Moderate,1
2091,Passive,2
2092,High engagers,0
2093,Passive,2
2094,Passive,2
2095,High engagers,0
2096,Passive,2
2097,Passive,2
2098,High engagers,0
2099,High engagers,0
2100,High engagers,0
2101,Moderate,1
2102,High engagers,0
2103,Moderate,1
2104,High engagers,0
2105,Moderate,1
2106,Passive,2
2107,Moderate,1
2108,Passive,2
2109,High engagers,0
2110,Moderate,1
2111,Moderate,1
2112,Passive,2
2113,Passive,2
2114,Passive,2
2115,High engagers,0
2116,High engagers,0
2117,High engagers,0
2118,High engagers,0
2119,High engagers,0
2120,High engagers,0
2121,High engagers,0
2122,High engagers,0
2123,High engagers,0
2124,Moderate,1
2125,Moderate,1
2126,Moderate,1
2127,Passive,2
2128,High engagers,0
2129,Passive,2
2130,High engagers,0
2131,Moderate,1
2132,Passive,2
2134,High engagers,0
2135,High engagers,0
2136,Moderate,1
2137,Moderate,1
2138,High engagers,0
2139,High engagers,0
2140,Passive,2
2141,High engagers,0
2142,Passive,2
2143,Moderate,1
2144,Moderate,1
2145,Moderate,1
2146,High engagers,0
2147,Passive,2
2148,Moderate,1
2149,High engagers,0
2150,High engagers,0
2151,High engagers,0
2152,High engagers,0
2153,High engagers,0
2154,Passive,2
2155,High engagers,0
2156,High engagers,0
2157,Passive,2
2158,Moderate,1
2159,High engagers,0
2160,Moderate,1
2161,Moderate,1
2162,Moderate,1
2163,Passive,2
2164,High engagers,0
2165,High engagers,0
2166,Moderate,1
2167,High engagers,0
2168,High engagers,0
2169,Passive,2
2170,High engagers,0
2171,High engagers,0
2172,High engagers,0
2173,High engagers,0
2174,High engagers,0
2175,High engagers,0
2176,High engagers,0
2177,Moderate,1
2178,Passive,2
2179,High engagers,0
2181,Passive,2
2182,High engagers,0
2183,Passive,2
2184,High engagers,0
2185,High engagers,0
2186,Passive,2
2187,Moderate,1
2188,Passive,2
2189,High engagers,0
2190,High engagers,0
2191,Moderate,1
2192,High engagers,0
2193,High engagers,0
2194,High engagers,0
2195,High engagers,0
2196,High engagers,0
2197,High engagers,0
2198,High engagers,0
2199,Moderate,1
2200,Moderate,1
2201,Moderate,1
2202,Moderate,1
2203,Moderate,1
2204,High engagers,0
2205,Passive,2
2206,High engagers,0
2207,Moderate,1
2208,Moderate,1
2209,High engagers,0
2210,Passive,2
2211,Moderate,1
2212,High engagers,0
2213,Passive,2
2214,Moderate,1
2215,High engagers,0
2216,Moderate,1
2217,High engagers,0
2218,Passive,2
2219,High engagers,0
2220,High engagers,0
2221,Passive,2
2222,High engagers,0
2223,High engagers,0
2224,Moderate,1
2225,High engagers,0
2226,High engagers,0
2227,Passive,2
2228,High engagers,0
2229,High engagers,0
2230,High engagers,0
2231,Moderate,1
2232,Passive,2
2233,High engagers,0
2234,High engagers,0
2235,High engagers,0
2236,High engagers,0
2237,Moderate,1
2238,Moderate,1
2239,High engagers,0
2240,Moderate,1
2241,Moderate,1
2242,Passive,2
2243,High engagers,0
2244,Moderate,1
2245,High engagers,0
2246,Moderate,1
2247,Moderate,1
2248,High engagers,0
2249,Moderate,1
2250,High engagers,0
2251,High engagers,0
2252,Moderate,1
2253,Moderate,1
2254,Passive,2
2256,Passive,2
2257,Passive,2
2258,Passive,2
2259,High engagers,0
2260,High engagers,0
2261,High engagers,0
2263,Moderate,1
2264,High engagers,0
2265,Passive,2
2266,High engagers,0
2267,Moderate,1
2268,High engagers,0
2269,Moderate,1
2270,High engagers,0
2271,High engagers,0
2272,High engagers,0
2273,Passive,2
2274,Moderate,1
2275,Passive,2
2276,Moderate,1
2277,Passive,2
2278,Moderate,1
2279,Passive,2
2280,Moderate,1
2281,High engagers,0
2282,Passive,2
2283,Moderate,1
2284,Moderate,1
2285,Passive,2
2286,Passive,2
2287,Passive,2
2288,Passive,2
2289,Moderate,1
2290,High engagers,0
2292,Passive,2
2293,High engagers,0
2294,High engagers,0
2295,Moderate,1
2296,High engagers,0
2297,Moderate,1
2298,High engagers,0
2299,High engagers,0
2300,Passive,2
2301,High engagers,0
2302,High engagers,0
2303,High engagers,0
2304,High engagers,0
2305,High engagers,0
2306,Moderate,1
2307,High engagers,0
2308,Passive,2
2309,Moderate,1
2310,High engagers,0
2311,High engagers,0
2312,Passive,2
2313,High engagers,0
2314,High engagers,0
2315,Moderate,1
2316,High engagers,0
2317,Moderate,1
2318,Moderate,1
2319,High engagers,0
2320,Passive,2
2321,High engagers,0
2322,Passive,2
2323,High engagers,0
2324,Passive,2
2325,High engagers,0
2326,High engagers,0
2327,High engagers,0
2328,Moderate,1
2329,High engagers,0
2330,Passive,2
2331,High engagers,0
2332,High engagers,0
2333,High engagers,0
2334,Passive,2
2335,High engagers,0
2336,Moderate,1
2337,Moderate,1
2338,High engagers,0
2339,Passive,2
2340,High engagers,0
2341,Moderate,1
2342,Passive,2
2343,Passive,2
2344,High engagers,0
2345,Passive,2
2346,Moderate,1
2347,Moderate,1
2348,Moderate,1
2349,Passive,2
2350,Passive,2
2351,High engagers,0
2352,High engagers,0
2353,High engagers,0
2354,High engagers,0
2355,High engagers,0
2356,Moderate,1
2357,Passive,2
2358,Moderate,1
2360,Passive,2
2361,High engagers,0
2362,Passive,2
2363,High engagers,0
2364,High engagers,0
2365,Passive,2
2366,Passive,2
2367,High engagers,0
2368,High engagers,0
2369,Passive,2
2370,High engagers,0
2371,Passive,2
2372,Passive,2
2373,Moderate,1
2374,Passive,2
2375,Passive,2
2376,Passive,2
2377,High engagers,0
2378,Passive,2
2379,Moderate,1
2380,Moderate,1
2381,High engagers,0
2382,High engagers,0
2383,Moderate,1
2384,Passive,2
2385,Passive,2
2386,Passive,2
2388,High engagers,0
2389,High engagers,0
2390,High engagers,0
2391,High engagers,0
2392,High engagers,0
2393,Moderate,1
2394,High engagers,0
2395,Moderate,1
2397,High engagers,0
2398,Moderate,1
2399,Passive,2
2400,Passive,2
2401,High engagers,0
2402,High engagers,0
2403,Moderate,1
2404,High engagers,0
2405,Passive,2
2406,Moderate,1
2407,High engagers,0
2408,Passive,2
2409,High engagers,0
2410,Moderate,1
2411,Moderate,1
2412,High engagers,0
2413,Moderate,1
2414,High engagers,0
2415,Passive,2
2416,Passive,2
2417,High engagers,0
2418,High engagers,0
2419,High engagers,0
2420,High engagers,0
2421,Passive,2
2422,Moderate,1
2423,Moderate,1
2424,High engagers,0
2425,High engagers,0
2426,High engagers,0
2427,Moderate,1
2428,High engagers,0
2429,Passive,2
2430,Passive,2
2431,Moderate,1
2432,Moderate,1
2433,Moderate,1
2434,Moderate,1
2435,High engagers,0
2437,Moderate,1
2438,Moderate,1
2439,Passive,2
2440,High engagers,0
2441,High engagers,0
2442,Passive,2
2443,Passive,2
2444,Moderate,1
2445,Moderate,1
2446,Moderate,1
2447,Passive,2
2448,Passive,2
2449,Passive,2
2450,High engagers,0
2451,Passive,2
2452,High engagers,0
2453,Passive,2
2454,High engagers,0
2455,Moderate,1
2456,High engagers,0
2457,Moderate,1
2458,High engagers,0
2459,High engagers,0
2460,High engagers,0
2461,High engagers,0
2462,Passive,2
2463,High engagers,0
2464,Moderate,1
2465,Passive,2
2466,High engagers,0
2467,Moderate,1
2468,Passive,2
2469,Moderate,1
2470,Passive,2
2471,Passive,2
2472,High engagers,0
2473,Moderate,1
2474,High engagers,0
2475,High engagers,0
2476,Passive,2
2477,Passive,2
2478,High engagers,0
2479,High engagers,0
2480,Moderate,1
2481,Moderate,1
2482,High engagers,0
2483,Passive,2
2484,Passive,2
2485,Passive,2
2486,Moderate,1
2487,High engagers,0
2488,Passive,2
2489,High engagers,0
2490,High engagers,0
2491,Passive,2
2492,Passive,2
2493,High engagers,0
2494,Moderate,1
2495,Moderate,1
2496,High engagers,0
2497,High engagers,0
2498,Passive,2
2499,Moderate,1
2500,High engagers,0
2501,Moderate,1
2502,Moderate,1
2504,High engagers,0
2505,Moderate,1
2506,Passive,2
2507,High engagers,0
2508,Moderate,1
2509,High engagers,0
2510,Passive,2
2511,High engagers,0
2512,High engagers,0
2513,High engagers,0
2514,High engagers,0
2515,Passive,2
2516,High engagers,0
2517,Passive,2
2518,High engagers,0
2519,Moderate,1
2520,Moderate,1
2521,High engagers,0
2522,Passive,2
2523,High engagers,0
2524,Moderate,1
2525,High engagers,0
2526,Moderate,1
2527,Moderate,1
2528,Passive,2
2529,Passive,2
2530,Passive,2
2531,Passive,2
2532,Moderate,1
2533,High engagers,0
2534,Passive,2
2536,Moderate,1
2537,High engagers,0
2538,Passive,2
2539,High engagers,0
2540,Moderate,1
2541,High engagers,0
2542,Moderate,1
2543,High engagers,0
2544,Moderate,1
2545,Moderate,1
2546,Moderate,1
2548,Moderate,1
2549,Passive,2
2550,Passive,2
2551,High engagers,0
2552,Passive,2
2553,High engagers,0
2554,Moderate,1
2555,Passive,2
2556,Moderate,1
2557,High engagers,0
2558,High engagers,0
2559,Passive,2
2560,Passive,2
2561,High engagers,0
2562,High engagers,0
2563,Moderate,1
2564,Moderate,1
2565,Moderate,1
2566,High engagers,0
2567,High engagers,0
2568,Passive,2
2569,High engagers,0
2570,Moderate,1
2571,Moderate,1
2572,High engagers,0
2573,High engagers,0
2574,Passive,2
2575,High engagers,0
2576,Passive,2
2577,Moderate,1
2578,Passive,2
2579,High engagers,0
2580,Moderate,1
2581,Moderate,1
2582,High engagers,0
2583,High engagers,0
2584,High engagers,0
2585,Moderate,1
2586,High engagers,0
2587,Moderate,1
2588,Moderate,1
2589,Moderate,1
2590,Moderate,1
2591,Passive,2
2592,Passive,2
2593,Passive,2
2594,Moderate,1
2595,High engagers,0
2596,Moderate,1
2597,High engagers,0
2598,High engagers,0
2599,High engagers,0
2601,Passive,2
2602,High engagers,0
2603,High engagers,0
2604,Passive,2
2605,Moderate,1
2606,High engagers,0
2607,Passive,2
2608,Moderate,1
2609,High engagers,0
2610,High engagers,0
2611,High engagers,0
2612,High engagers,0
2613,High engagers,0
2614,Moderate,1
2615,High engagers,0
2616,Moderate,1
2617,High engagers,0
2618,Passive,2
2619,High engagers,0
2620,High engagers,0
2621,Moderate,1
2623,Passive,2
2624,High engagers,0
2625,Moderate,1
2626,High engagers,0
2627,Moderate,1
2628,Moderate,1
2629,High engagers,0
2630,High engagers,0
2631,Passive,2
2632,High engagers,0
2633,Moderate,1
2634,Passive,2
2635,Passive,2
2636,High engagers,0
2637,Passive,2
2638,High engagers,0
2639,High engagers,0
2640,Passive,2
2641,High engagers,0
2642,Passive,2
2643,Moderate,1
2644,High engagers,0
2645,High engagers,0
2646,High engagers,0
2647,Passive,2
2648,High engagers,0
2649,Moderate,1
2650,High engagers,0
2652,High engagers,0
2653,High engagers,0
2654,High engagers,0
2655,High engagers,0
2656,High engagers,0
2657,Moderate,1
2658,High engagers,0
2659,Moderate,1
2660,Moderate,1
2661,High engagers,0
2662,Passive,2
2663,Passive,2
2664,High engagers,0
2665,High engagers,0
2666,High engagers,0
2667,Passive,2
2668,High engagers,0
2669,Moderate,1
2670,High engagers,0
2671,Moderate,1
2672,Moderate,1
2673,High engagers,0
2674,Passive,2
2675,High engagers,0
2676,Passive,2
2677,High engagers,0
2678,Passive,2
2679,High engagers,0
2680,Moderate,1
2681,Moderate,1
2682,High engagers,0
2683,High engagers,0
2684,High engagers,0
2685,High engagers,0
2686,Passive,2
2687,High engagers,0
2688,Moderate,1
2689,Moderate,1
2690,High engagers,0
2691,High engagers,0
2692,Moderate,1
2693,High engagers,0
2695,Passive,2
2696,Passive,2
2697,High engagers,0
2698,Passive,2
2699,Moderate,1
2700,High engagers,0
2701,Moderate,1
2702,High engagers,0
2703,Passive,2
2704,Passive,2
2705,High engagers,0
2706,Passive,2
2707,High engagers,0
2708,High engagers,0
2709,Moderate,1
2710,High engagers,0
2711,Passive,2
2712,High engagers,0
2713,Moderate,1
2714,Moderate,1
2715,Passive,2
2716,Moderate,1
2717,Moderate,1
2718,High engagers,0
2719,Passive,2
2720,Passive,2
2721,High engagers,0
2722,Moderate,1
2723,High engagers,0
2724,Moderate,1
2725,High engagers,0
2726,Moderate,1
2727,High engagers,0
2728,Moderate,1
2729,High engagers,0
2730,Moderate,1
2731,High engagers,0
2732,High engagers,0
2733,Passive,2
2734,Moderate,1
2735,Moderate,1
2736,High engagers,0
2737,Moderate,1
2738,High engagers,0
2739,Moderate,1
2740,Moderate,1
2741,Moderate,1
2742,High engagers,0
2743,Passive,2
2744,High engagers,0
2745,High engagers,0
2746,High engagers,0
2747,Moderate,1
2748,Moderate,1
2749,High engagers,0
2750,High engagers,0
2751,Moderate,1
2752,Passive,2
2753,Moderate,1
2754,Moderate,1
2755,Moderate,1
2756,Passive,2
2757,High engagers,0
2758,Passive,2
2759,High engagers,0
2760,Passive,2
2761,Passive,2
2762,High engagers,0
2763,Moderate,1
2764,High engagers,0
2765,High engagers,0
2766,Moderate,1
2767,Moderate,1
2768,High engagers,0
2769,Moderate,1
2771,Passive,2
2772,High engagers,0
2773,High engagers,0
2774,High engagers,0
2775,Passive,2
2776,High engagers,0
2777,High engagers,0
2778,High engagers,0
2779,High engagers,0
2780,High engagers,0
2781,Passive,2
2782,Moderate,1
2783,High engagers,0
2784,Moderate,1
2785,Moderate,1
2786,Moderate,1
2787,Moderate,1
2788,Moderate,1
2789,Moderate,1
2790,High engagers,0
2791,High engagers,0
2792,High engagers,0
2793,High engagers,0
2795,High engagers,0
2796,High engagers,0
2797,Moderate,1
2798,Passive,2
2799,Moderate,1
2800,High engagers,0
2802,Moderate,1
2803,Passive,2
2804,High engagers,0
2805,High engagers,0
2806,Moderate,1
2807,Passive,2
2808,Moderate,1
2809,Passive,2
2810,Passive,2
2811,Passive,2
2812,Passive,2
2813,Moderate,1
2814,High engagers,0
2815,Moderate,1
2816,High engagers,0
2817,Passive,2
2818,Moderate,1
2819,Moderate,1
2820,Moderate,1
2821,Passive,2
2822,Moderate,1
2823,High engagers,0
2826,Moderate,1
2827,Moderate,1
2828,High engagers,0
2829,High engagers,0
2830,Passive,2
2831,High engagers,0
2832,Passive,2
2833,High engagers,0
2834,Moderate,1
2835,Passive,2
2836,Passive,2
2837,Passive,2
2838,High engagers,0
2839,Moderate,1
2840,Passive,2
2841,Passive,2
2842,High engagers,0
2843,High engagers,0
2844,High engagers,0
2845,High engagers,0
2846,Passive,2
2847,High engagers,0
2848,High engagers,0
2849,Moderate,1
2850,Moderate,1
2851,Moderate,1
2852,Moderate,1
2853,Moderate,1
2854,High engagers,0
2855,Moderate,1
2856,High engagers,0
2857,High engagers,0
2858,High engagers,0
2859,High engagers,0
2860,High engagers,0
2861,Passive,2
2862,Passive,2
2863,High engagers,0
2864,High engagers,0
2865,Passive,2
2866,High engagers,0
2867,Passive,2
2868,High engagers,0
2869,Moderate,1
2870,High engagers,0
2871,High engagers,0
2872,High engagers,0
2873,Moderate,1
2874,High engagers,0
2875,Passive,2
2876,Moderate,1
2877,High engagers,0
2878,Moderate,1
2879,Moderate,1
2880,Moderate,1
2881,Passive,2
2882,Moderate,1
2883,Moderate,1
2884,Passive,2
2885,High engagers,0
2886,High engagers,0
2887,Moderate,1
2888,High engagers,0
2889,Passive,2
2890,Moderate,1
2891,Moderate,1
2892,Passive,2
2893,Passive,2
2894,High engagers,0
2896,High engagers,0
2898,High engagers,0
2899,High engagers,0
2900,Passive,2
2901,High engagers,0
2902,Moderate,1
2903,Moderate,1
2904,Moderate,1
2905,High engagers,0
2906,High engagers,0
2908,High engagers,0
2909,High engagers,0
2910,High engagers,0
2911,Moderate,1
2912,High engagers,0
2913,High engagers,0
2914,Moderate,1
2915,High engagers,0
2916,Moderate,1
2917,High engagers,0
2918,High engagers,0
2919,Moderate,1
2920,Moderate,1
2922,High engagers,0
2923,Moderate,1
2924,High engagers,0
2925,High engagers,0
2926,High engagers,0
2927,High engagers,0
2928,Passive,2
2929,Moderate,1
2930,Moderate,1
2931,High engagers,0
2932,High engagers,0
2933,High engagers,0
2934,Passive,2
2935,High engagers,0
2936,High engagers,0
2937,High engagers,0
2938,High engagers,0
2939,High engagers,0
2940,Moderate,1
2941,High engagers,0
2942,High engagers,0
2943,High engagers,0
2944,High engagers,0
2945,High engagers,0
2946,Moderate,1
2947,Moderate,1
2948,High engagers,0
2950,Passive,2
2951,High engagers,0
2952,Passive,2
2953,High engagers,0
2954,High engagers,0
2955,High engagers,0
2956,Moderate,1
2957,High engagers,0
2958,High engagers,0
2959,Passive,2
2960,Moderate,1
2961,Moderate,1
2963,High engagers,0
2964,High engagers,0
2965,High engagers,0
2966,High engagers,0
2967,Moderate,1
2968,Passive,2
2969,Passive,2
2970,High engagers,0
2971,High engagers,0
2972,Moderate,1
2973,High engagers,0
2974,Passive,2
2975,High engagers,0
2976,High engagers,0
2977,Moderate,1
2978,High engagers,0
2979,High engagers,0
2980,Passive,2
2981,Passive,2
2982,Moderate,1
2983,High engagers,0
2984,High engagers,0
2985,High engagers,0
2986,Passive,2
2987,Moderate,1
2988,High engagers,0
2989,High engagers,0
2990,Passive,2
2991,High engagers,0
2992,Passive,2
2993,Moderate,1
2994,Passive,2
2995,Passive,2
2996,High engagers,0
2997,Moderate,1
2998,High engagers,0
2999,High engagers,0
3000,High engagers,0
3001,Passive,2
3002,Moderate,1
3003,High engagers,0
3004,High engagers,0
3005,Passive,2
3006,High engagers,0
3007,Moderate,1
3008,High engagers,0
3009,Moderate,1
3010,Moderate,1
3011,High engagers,0
3012,High engagers,0
3013,High engagers,0
3014,High engagers,0
3015,High engagers,0
3016,High engagers,0
3017,Passive,2
3018,High engagers,0
3019,High engagers,0
3020,Passive,2
3021,Moderate,1
3022,High engagers,0
3023,Passive,2
3024,High engagers,0
3025,High engagers,0
3026,Moderate,1
3027,Moderate,1
3028,Passive,2
3029,Moderate,1
3030,High engagers,0
3031,Passive,2
3032,High engagers,0
3033,High engagers,0
3034,High engagers,0
3036,Moderate,1
3037,Moderate,1
3038,High engagers,0
3039,Passive,2
3040,High engagers,0
3041,High engagers,0
3042,High engagers,0
3043,Moderate,1
3044,Moderate,1
3045,Moderate,1
3047,Moderate,1
3048,High engagers,0
3049,High engagers,0
3050,High engagers,0
3051,Moderate,1
3052,Passive,2
3053,High engagers,0
3054,High engagers,0
3055,Passive,2
3056,High engagers,0
3057,High engagers,0
3058,Moderate,1
3059,Moderate,1
3060,High engagers,0
3061,High engagers,0
3062,High engagers,0
3063,Passive,2
3064,High engagers,0
3065,Moderate,1
3066,Moderate,1
3067,Passive,2
3068,Moderate,1
3069,High engagers,0
3070,Passive,2
3071,Moderate,1
3073,Moderate,1
3074,High engagers,0
3075,Moderate,1
3076,High engagers,0
3077,Passive,2
3078,Moderate,1
3079,Passive,2
3080,Moderate,1
3081,Passive,2
3082,High engagers,0
